English,Arabic,Dialect
is sitting/doing,yajlis / yafeal,Fushaa
firm,sharika,Fushaa
tough,qas,Fushaa
coffee,qahwa,Fushaa
moon,alqamar,Fushaa
law,qanun,Fushaa
family,al'usra,Fushaa
relitives,nisbiun,Fushaa
close,'aghliq,Fushaa
shortly (time),qariban (time),Fushaa
soon/close,qryban / qarib,Fushaa
short,qasira,Fushaa
strong,qawiun,Fushaa
is doing,hu fiel,Fushaa
news,al'iikhbaria,Fushaa
in front (of),'amama),Fushaa
what time is it?,'ayu saeatin?,Fushaa
leg,saq,Fushaa
loaf,raghif,Fushaa
glass,zujaj,Fushaa
arm,dhirae,Fushaa
hand,kuff,Fushaa
right hand,alyad alyumnaa,Fushaa
left hand,alyad alyusraa,Fushaa
sister,'ukht,Fushaa
power,qua,Fushaa
close(ness),qarib (nis),Fushaa
Don't you ever../Watch out (for),la tafeal 'abadan ../ ahtaris (l),Fushaa
on/at  (but can have many other meanings),on / at (wlkin yumkin 'an yakun laha aleadid min almaeani al'ukhraa),Fushaa
amount,miqdar,Fushaa
big amount,kamiyat kabira,Fushaa
small amount,kamiyat saghira,Fushaa
Its ok/not bad/normal,la bas / lays sayiyan / eadi,Fushaa
ordinary,eadi,Fushaa
at 2,fi 2,Fushaa
eye,euyin,Fushaa
at least,ealaa al'aqali,Fushaa
at least,ealaa al'aqali,Fushaa
relationship,sila,Fushaa
at 1,fi 1,Fushaa
I'm dying from the..,'ana 'amut man ..,Fushaa
uncle,akhw alam,Fushaa
about,hawl,Fushaa
on purpose,ean qasd,Fushaa
(an) offer,(eirid,Fushaa
straight,mustaqim,Fushaa
dinner,wajbat easha',Fushaa
on your left,ealaa yasarik,Fushaa
in the morning,fi alsabah,Fushaa
out of order,kharij ean alsaytara,Fushaa
dark (light wise),alzalam (khfif alhikmati),Fushaa
at 8,fi 8,Fushaa
always,daymaan,Fushaa
glasses,nazaarat,Fushaa
on your right,'iinah ealaa yaminik,Fushaa
on a visit,fi ziara,Fushaa
box,eulba,Fushaa
package,hizma,Fushaa
You have?,eindaka?,Fushaa
address,tabuk,Fushaa
title,laqab,Fushaa
wedding,hafl zawaj,Fushaa
life(time),hayaatun),Fushaa
brother,shaqiq,Fushaa
enough,kafi,Fushaa
that’s it/that’s enough/stop!,hadha kulu shay' / hadha yakfi / tawaqaf!,Fushaa
stay,yaqdi,Fushaa
lets meet..,falinaltaqi..,Fushaa
map,kharita,Fushaa
lettuce,khas,Fushaa
wood,khashab,Fushaa
dangerous,khatir,Fushaa
mr.-mister,alsayid alsayid,Fushaa
baker,khabaz,Fushaa
bread,raghif alkhubz,Fushaa
service,alkhadamat,Fushaa
old man/woman,rajul eajuz / amra'a,Fushaa
amazed at me ((he/she) was),mundahish miniy ((hu / hi) kan),Fushaa
vegetables,khadrawat,Fushaa
real,haqana,Fushaa
really/truthfully,haqana / bisidaq,Fushaa
wall,hayit,Fushaa
pill,haba,Fushaa
my darling,ya eazizaa,Fushaa
beside,bijanib,Fushaa
ready,jahiz,Fushaa
someone,shakhsan ma,Fushaa
does someone want…?,hal yurid shakhs ma...?,Fushaa
concert/party,haflat musiqiat / hafla,Fushaa
party,hafl,Fushaa
life,alhayaa,Fushaa
animal,hayawan,Fushaa
right now…,faa alhali...,Fushaa
milk,halib,Fushaa
energy/excitement,altaaqat / al'iithara,Fushaa
forbiden,yahzur,Fushaa
how forbiden (he/she/they) is/are,kayf yahram (hw / hi / hum),Fushaa
how sad!,kam hadha muhzina!,Fushaa
you are mean!,ant munhati!,Fushaa
fever,huma,Fushaa
temperature,darajat alharara,Fushaa
pregnant,hamil,Fushaa
lovely,mahbub,Fushaa
sweet/beautiful,hulw / jamil,Fushaa
border,alhudud,Fushaa
free,majaanan,Fushaa
costly,mukalifa,Fushaa
lunch,ghada',Fushaa
dark (color wise),ghamiq (lun hakimi),Fushaa
another,akhir,Fushaa
other (than),ghayr dhalika),Fushaa
wrong!,khati - zulm - yazlimu!,Fushaa
mistake,khata,Fushaa
mistake (from you),khata (minka),Fushaa
mistake (from me),khata (mini),Fushaa
rich,thari,Fushaa
west,algharb,Fushaa
foreign,'ajnabiun,Fushaa
strange,gharib,Fushaa
strange,gharib,Fushaa
strange/how strange?,gharib / kif ghirib?,Fushaa
song,'ughnia,Fushaa
living room,ghurfat almaeisha,Fushaa
room,majal,Fushaa
living room,ghurfat almaeisha,Fushaa
bedroom,ghurfat nawm,Fushaa
blind,'aemaa,Fushaa
give,yuetaa,Fushaa
green,lawn 'akhdar,Fushaa
red,'ahmar,Fushaa
feeling,shueur,Fushaa
better,'afdil,Fushaa
before,qabl,Fushaa
white,'abyad,Fushaa
old,qadim,Fushaa
last,alakhir,Fushaa
last thing/one,akhar shay' / wahid,Fushaa
stupid,ghabiun,Fushaa
yes indeed,naeam bialfiel,Fushaa
when?/what time?,eindama waqt ma?,Fushaa
"No doubt,Sure thing!",la shaka shay' 'akidu!,Fushaa
food,ghidha',Fushaa
certain,takid,Fushaa
definitely,bialtaaakid,Fushaa
sure!,bialtaakidi!,Fushaa
sure??,bialtaakidi??,Fushaa
German man/woman,rajul / amra'at 'almania,Fushaa
American man/woman,rajul / aimra'at 'amrikia,Fushaa
prince,'amir,Fushaa
(the) worst..thing,(al) al'aswa .. shay',Fushaa
I am free to do as I wish!,'ana hurun fi 'an 'afeal ma yahlu lay!,Fushaa
I want please..,'urid arda'a..,Fushaa
english,al'iinjilizia,Fushaa
bottle,zujajatan,Fushaa
bottle of water,qarurat ma',Fushaa
or,'aw,Fushaa
lion,'asad,Fushaa
yellow,al'asfar,Fushaa
black,'aswad,Fushaa
moterway/highway,altariq alsarie / altariq alsarie,Fushaa
You say so?,taqul dhalika?,Fushaa
blue,'azraq,Fushaa
blue,'azraq,Fushaa
at,fi,Fushaa
cow,baqara,Fushaa
after,"baeda, baedama",Fushaa
Its Early! (sarcasm when someone is late),'iinah mubakirun! (sukhariat eindama yata'akhar shakhs ma),Fushaa
sometimes,baed al'ahyan,Fushaa
afterwards/later,baed dhalik / lahqan,Fushaa
cheap (person),shakhs rakhisun),Fushaa
beach,shati bahr,Fushaa
sea,bahr,Fushaa
dad,baba,Fushaa
father,alab,Fushaa
suit,tunasib,Fushaa
door,bab,Fushaa
egg,bayda,Fushaa
house,bayt,Fushaa
early,mubakir,Fushaa
out,kharij,Fushaa
just/enough,yakfaa,Fushaa
only,faqat,Fushaa
unfortunately,lisu' alhazi,Fushaa
fun,marah,Fushaa
potatos,albatata,Fushaa
slow,bati',Fushaa
away,bueid,Fushaa
far,bueid,Fushaa
baby,tifl,Fushaa
inside(as in domestic),dakhil (kuma hu alhal fi almahaliy),Fushaa
it must be!,yajib an yakunu!,Fushaa
without,bidun,Fushaa
in particular,khasah,Fushaa
outside(as in abroad),fi alkharij (kuma fi alkhariji),Fushaa
especially,khasatan,Fushaa
country,balad,Fushaa
at home,faa almanzil,Fushaa
indeed,fi alwaqie,Fushaa
(at) night,(fi allayl,Fushaa
in the city,fi almadina,Fushaa
undergoing repair,yakhdae lil'iislah,Fushaa
building,bina',Fushaa
brown,bunaa,Fushaa
daughter/girl,abnat / fata,Fushaa
gasoline/petrol,albinzin / albinzin,Fushaa
fridge,thalaaja,Fushaa
curtain,sitara,Fushaa
program,barnamaj,Fushaa
hat,qubea,Fushaa
precisely,ealaa wajh altahdid,Fushaa
in,fi,Fushaa
near,qurb,Fushaa
concerning,bikhusus,Fushaa
bicycle,daraaja,Fushaa
beer,bira,Fushaa
card,bitaqa,Fushaa
in the evening,eind almasa',Fushaa
girl,fatatan,Fushaa
cat,qita,Fushaa
exactly,bialdabt,Fushaa
paint,rasim,Fushaa
Good day,yawm jayid,Fushaa
shoe,hidha',Fushaa
shoes,'ahdhia,Fushaa
tomorrow,alghad,Fushaa
excellent for you,mumtaz lak,Fushaa
excellent,mumtaz,Fushaa
British man/woman,rajul britaniun / amra'a,Fushaa
bus,'uwtubis,Fushaa
gift,hadiat majaania,Fushaa
present,alhalia,Fushaa
Canadaian  man/woman,rajul / amra'at kanadiun,Fushaa
hat,qubea,Fushaa
shirt,qamis,Fushaa
chocolate,shwkulata,Fushaa
cinema,sinima,Fushaa
computer,alhasub,Fushaa
tie,rabtat eunuq,Fushaa
called (as in...so and so called),yusamaa (kama fi ... fulan wama yusamaa),Fushaa
called (I called),dueit (aitasalt),Fushaa
week (power),'usbue (quatun),Fushaa
gold (material),dhahab (mada),Fushaa
gold (color),aldhahab (alluwn),Fushaa
back,ala alkhalf,Fushaa
outing,nuzha,Fushaa
always,daymaan,Fushaa
necessary,min aldarurii,Fushaa
light,khafifa,Fushaa
light (brightness),daw' (stue),Fushaa
switch on,shughil,Fushaa
smoke (particles),dukhan (jsimatu),Fushaa
(a)shop,(matjar,Fushaa
supermarket,subar markit,Fushaa
studies,dirasat,Fushaa
commercials,aeilanat tijaria,Fushaa
commercial,tijari,Fushaa
religion,din,Fushaa
doctor,tabib,Fushaa
against,dida,Fushaa
shower,dush,Fushaa
a possiblity,'iimkania,Fushaa
son,abn,Fushaa
scarf,washah,Fushaa
proposal,aiqtirah,Fushaa
the,al,Fushaa
(the) people,(alnaas,Fushaa
the world/the people,alealam / alnaas,Fushaa
(the) family,(aleayila,Fushaa
the family,aleayila,Fushaa
autumn,kharif,Fushaa
the others,alakharun,Fushaa
first,'awal,Fushaa
the first,al'awal,Fushaa
(the) human being,(alansan,Fushaa
it seems to be!,yabdu 'anahu!,Fushaa
everyone,kulu wahid,Fushaa
except/minus,biastithna' / naqis,Fushaa
minus,naqis,Fushaa
consumer (the consumer),almustahlik (almustahliki),Fushaa
people..typically (to teach a lesson),alnaas .. namatia (ltaelim diris),Fushaa
today,alyawm,Fushaa
yesterday,fi alamis,Fushaa
wine,nabidh,Fushaa
(the) people,(alnaas,Fushaa
you are,'ant,Fushaa
that,aladhi - alati,Fushaa
(the) radio,(alraadyu,Fushaa
the radio,alraadyu,Fushaa
spring,yanbue,Fushaa
(the) time,(alwaqt,Fushaa
summer,alsayf,Fushaa
week (calender),'usbue (taqwimi),Fushaa
the sun,alshams,Fushaa
winter,alshita',Fushaa
name,asm,Fushaa
the morning,alsabah,Fushaa
Spanish man/woman,rajul asbaniun / aimra'a,Fushaa
teacher,muealim,Fushaa
healing/medical aid,alshifa' / almusaeidat altibiya,Fushaa
(the)weather,(alju,Fushaa
the following,ma yali,Fushaa
look!,nazratun!,Fushaa
exam,amtihan,Fushaa
if otherwise/if not,'iidha kan khilaf dhalik / 'iidha lam yakun kadhalik,Fushaa
it appears to be!,yabdu 'ana!,Fushaa
poor,faqir,Fushaa
empty,farigha,Fushaa
not busy/empty,ghayr mashghul / farigh,Fushaa
light (color),lawn fatihi),Fushaa
suddenly,faj'atan,Fushaa
moth,hasharat aleita,Fushaa
silver (material),alfida (almawadi),Fushaa
silver (color),alfida (alluwn),Fushaa
understand?,tafahma?,Fushaa
chance,sudfa,Fushaa
holiday,yawm alajaza,Fushaa
fruit,fakiha,Fushaa
there is (available),hunak (mtahi),Fushaa
there is…,yujadu...,Fushaa
service (at the service..Of),alkhidma (fi alkhidma .. min),Fushaa
its possible,anah mumkin,Fushaa
in,fi,Fushaa
in case,fi hal,Fushaa
